_group,_name,_thesaurus,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required,_type
Record-level,datasetID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,https://dwc.tdwg.org/terms/#dwc:datasetID,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,,`b15d4952-7d20-46f1-8a3e-556a512b04c5`,false,
Record-level,institutionCode,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/institutionCode,https://dwc.tdwg.org/terms/#dwc:institutionCode,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,,`MVZ`; `FMNH`; `CLO`; `UCMP`,false,
Record-level,collectionCode,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/collectionCode,https://dwc.tdwg.org/terms/#dwc:collectionCode,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.",,`Mammals`; `Hildebrandt`; `EBIRD`; `VP`,false,
Record-level,datasetName,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetName,https://dwc.tdwg.org/terms/#dwc:datasetName,The name identifying the data set from which the record was derived.,,`Grinnell Resurvey Mammals`; `Lacey Ctenomys Recaptures`,false,
Record-level,ownerInstitutionCode,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,https://dwc.tdwg.org/terms/#dwc:ownerInstitutionCode,The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.,,`NPS`; `APN`; `InBio`,false,
Record-level,basisOfRecord,http://rs.gbif.org/vocabulary/dwc/basis_of_record_2024-02-19.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basisOfRecord,https://dwc.tdwg.org/terms/#dwc:basisOfRecord,The specific nature of the data record.,Recommended best practice is to use a controlled vocabulary such as the set of local names of the identifiers for classes in Darwin Core.,`MaterialEntity`; `PreservedSpecimen`; `FossilSpecimen`; `LivingSpecimen`; `MaterialSample`; `Event`; `HumanObservation`; `MachineObservation`; `Taxon`; `Occurrence`; `MaterialCitation`,true,
Record-level,informationWithheld,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/informationWithheld,https://dwc.tdwg.org/terms/#dwc:informationWithheld,"Additional information that exists, but that has not been shared in the given record.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`location information not given for endangered species`; `collector identities withheld | ask about tissue samples`,false,
Record-level,dataGeneralizations,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dataGeneralizations,https://dwc.tdwg.org/terms/#dwc:dataGeneralizations,Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`Coordinates generalized from original GPS coordinates to the nearest half degree grid cell`.,false,
Record-level,dynamicProperties,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dynamicProperties,https://dwc.tdwg.org/terms/#dwc:dynamicProperties,"A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.",Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"`{""heightInMeters"":1.5}`; `{""targusLengthInMeters"":0.014, ""weightInGrams"":120}`; `{""natureOfID"":""expert identification"", ""identificationEvidence"":""cytochrome B sequence""}`; `{""relativeHumidity"":28, ""airTemperatureInCelsius"":22, ""sampleSizeInKilograms"":10}`; `{""aspectHeading"":277, ""slopeInDegrees"":6}`; `{""iucnStatus"":""vulnerable"", ""taxonDistribution"":""Neuquén, Argentina""}`",false,
Occurrence,occurrenceID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceID,https://dwc.tdwg.org/terms/#dwc:occurrenceID,"An identifier for the dwc:Occurrence (as opposed to a particular digital record of the dwc:Occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the dwc:occurrenceID globally unique.","Recommended best practice is to use a persistent, globally unique identifier.",`http://arctos.database.museum/guid/MSB:Mamm:233627`; `000866d2-c177-4648-a200-ead4007051b9`; `urn:catalog:UWBM:Bird:89776`,false,
Occurrence,catalogNumber,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/catalogNumber,https://dwc.tdwg.org/terms/#dwc:catalogNumber,An identifier (preferably unique) for the record within the data set or collection.,,`145732`; `145732a`; `2008.1334`; `R-4313`,false,
Occurrence,recordNumber,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordNumber,https://dwc.tdwg.org/terms/#dwc:recordNumber,"An identifier given to the dwc:Occurrence at the time it was recorded. Often serves as a link between field notes and a dwc:Occurrence record, such as a specimen collector's number.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`OPP 7101`,false,
Occurrence,recordedBy,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordedBy,https://dwc.tdwg.org/terms/#dwc:recordedBy,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original dwc:Occurrence. The primary collector or observer, especially one who applies a personal identifier (dwc:recordNumber), should be listed first.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson` (where the value in recordNumber `OPP 7101` corresponds to the collector number for the specimen in the field catalog of Oliver P. Pearson),false,
Occurrence,recordedByID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordedByID,https://dwc.tdwg.org/terms/#dwc:recordedByID,"A list (concatenated and separated) of the globally unique identifier for the person, people, groups, or organizations responsible for recording the original dwc:Occurrence.","Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, it is recommended to separate the values in the list with space vertical bar space (` | `). The order of the identifiers on any list for this term can not be guaranteed to convey any semantics.",`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),false,
Occurrence,individualCount,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/individualCount,https://dwc.tdwg.org/terms/#dwc:individualCount,The number of individuals present at the time of the dwc:Occurrence.,,`0`; `1`; `25`,false,integer
Occurrence,organismQuantity,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismQuantity,https://dwc.tdwg.org/terms/#dwc:organismQuantity,A number or enumeration value for the quantity of dwc:Organisms.,A dwc:organismQuantity must have a corresponding dwc:organismQuantityType.,`27` (organismQuantity) with `individuals` (organismQuantityType); `12.5` (organismQuantity) with `% biomass` (organismQuantityType); `r` (organismQuantity) with `Braun-Blanquet Scale` (organismQuantityType); `many` (organismQuantity) with `individuals` (organismQuantityType),false,
Occurrence,organismQuantityType,http://rs.gbif.org/vocabulary/gbif/quantity_type_2015-07-10.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismQuantityType,https://dwc.tdwg.org/terms/#dwc:organismQuantityType,The type of quantification system used for the quantity of dwc:Organisms.,"A dwc:organismQuantityType must have a corresponding dwc:organismQuantity. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`27` (organismQuantity) with `individuals` (organismQuantityType); `12.5` (organismQuantity) with `% biomass` (organismQuantityType); `r` (organismQuantity) with `Braun-Blanquet Scale` (organismQuantityType); `many` (organismQuantity) with `individuals` (organismQuantityType),false,
Occurrence,sex,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sex,https://dwc.tdwg.org/terms/#dwc:sex,The sex of the biological individual(s) represented in the dwc:Occurrence.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`female`; `male`; `hermaphrodite`,false,
Occurrence,lifeStage,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lifeStage,https://dwc.tdwg.org/terms/#dwc:lifeStage,The age class or life stage of the dwc:Organism(s) at the time the dwc:Occurrence was recorded.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`zygote`; `larva`; `juvenile`; `adult`; `seedling`; `flowering`; `fruiting`,false,
Occurrence,reproductiveCondition,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/reproductiveCondition,https://dwc.tdwg.org/terms/#dwc:reproductiveCondition,The reproductive condition of the biological individual(s) represented in the dwc:Occurrence.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`non-reproductive`; `pregnant`; `in bloom`; `fruit-bearing`,false,
Occurrence,caste,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/caste,https://dwc.tdwg.org/terms/#dwc:caste,Categorisation of individuals for eusocial species (including some mammals and arthropods).,"Recommended best practice is to use a controlled vocabulary that aligns best with the dwc:Taxon. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`queen`; `male alate`; `intercaste`; `minor worker`; `soldier`; `ergatoid`,false,
Occurrence,behavior,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/behavior,https://dwc.tdwg.org/terms/#dwc:behavior,The behavior shown by the subject at the time the dwc:Occurrence was recorded.,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`roosting`; `foraging`; `running`,false,
Occurrence,vitality,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/vitality,https://dwc.tdwg.org/terms/#dwc:vitality,An indication of whether a dwc:Organism was alive or dead at the time of collection or observation.,"Recommended best practice is to use a controlled vocabulary. Intended to be used with records having a dwc:basisOfRecord of `PreservedSpecimen`, `MaterialEntity`, `MaterialSample`, or `HumanObservation`. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`alive`; `dead`; `mixedLot`; `uncertain`; `notAssessed`,false,
Occurrence,establishmentMeans,http://rs.gbif.org/vocabulary/dwc/establishment_means_2022-02-02.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/establishmentMeans,https://dwc.tdwg.org/terms/#dwc:establishmentMeans,Statement about whether a dwc:Organism has been introduced to a given place and time through the direct or indirect activity of modern humans.,"Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/em/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`native`; `nativeReintroduced`; `introduced`; `introducedAssistedColonisation`; `vagrant`; `uncertain`,false,
Occurrence,degreeOfEstablishment,http://rs.gbif.org/vocabulary/dwc/degree_of_establishment_2022-02-02.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,https://dwc.tdwg.org/terms/#dwc:degreeOfEstablishment,"The degree to which a dwc:Organism survives, reproduces, and expands its range at the given place and time.","Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`native`; `captive`; `cultivated`; `released`; `failing`; `casual`; `reproducing`; `established`; `colonising`; `invasive`; `widespreadInvasive`,false,
Occurrence,pathway,http://rs.gbif.org/vocabulary/dwc/pathway_2022-02-02.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/pathway,https://dwc.tdwg.org/terms/#dwc:pathway,The process by which a dwc:Organism came to be in a given place at a given time.,"Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/pw/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`releasedForUse`; `otherEscape`; `transportContaminant`; `transportStowaway`; `corridor`; `unaided`,false,
Occurrence,georeferenceVerificationStatus,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,https://dwc.tdwg.org/terms/#dwc:georeferenceVerificationStatus,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the dcterms:Location of the dwc:Occurrence.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`unable to georeference`; `requires georeference`; `requires verification`; `verified by data custodian`; `verified by contributor`,false,
Occurrence,occurrenceStatus,http://rs.gbif.org/vocabulary/gbif/occurrence_status_2020-07-15.xml,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceStatus,https://dwc.tdwg.org/terms/#dwc:occurrenceStatus,A statement about the presence or absence of a dwc:Taxon at a dcterms:Location.,"For dwc:Occurrences, the default vocabulary is recommended to consist of `present` and `absent`, but can be extended by implementers with good justification. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`present`; `absent`,false,
Occurrence,associatedMedia,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedMedia,https://dwc.tdwg.org/terms/#dwc:associatedMedia,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the dwc:Occurrence.",,`https://arctos.database.museum/media/10520962 | https://arctos.database.museum/media/10520964`,false,
Occurrence,associatedOccurrences,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedOccurrences,https://dwc.tdwg.org/terms/#dwc:associatedOccurrences,A list (concatenated and separated) of identifiers of other dwc:Occurrence records and their associations to this dwc:Occurrence.,"This term can be used to provide a list of associations to other dwc:Occurrences. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`""parasite collected from"":""https://arctos.database.museum/guid/MSB:Mamm:215895?seid=950760""`; `""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3175067"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177393"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177394"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177392"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3609139""`",false,
Occurrence,associatedReferences,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedReferences,https://dwc.tdwg.org/terms/#dwc:associatedReferences,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the dwc:Occurrence.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Note also that the intended usage of the term dcterms:references in Darwin Core when applied to a dwc:Occurrence is to point to the definitive source representation of that dwc:Occurrence if one is available. Note also that the intended usage of dcterms:bibliographicCitation in Darwin Core when applied to a dwc:Occurrence is to provide the preferred way to cite the dwc:Occurrence itself.","`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",false,
Occurrence,associatedTaxa,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedTaxa,https://dwc.tdwg.org/terms/#dwc:associatedTaxa,A list (concatenated and separated) of identifiers or names of dwc:Taxon records and the associations of this dwc:Occurrence to each of them.,"This term can be used to provide a list of associations to dwc:Taxon records other than the one defined in the dwc:Occurrence. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. This term is not apt for establishing relationships between dwc:Taxon records, only between specific dwc:Occurrences of a dwc:Organism with other dwc:Taxon records. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`""host"":""Quercus alba""`; `""host"":""gbif.org/species/2879737""`; `""parasitoid of"":""Cyclocephala signaticollis"" | ""predator of"":""Apis mellifera""`",false,
Occurrence,otherCatalogNumbers,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,https://dwc.tdwg.org/terms/#dwc:otherCatalogNumbers,"A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same dwc:Occurrence, whether in the current or any other data set or collection.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`FMNH:Mammal:1234`; `NPS YELLO6778 | MBG 33424`,false,
Occurrence,occurrenceRemarks,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,https://dwc.tdwg.org/terms/#dwc:occurrenceRemarks,Comments or notes about the dwc:Occurrence.,,`found dead on road`,false,
Organism,organismID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismID,https://dwc.tdwg.org/terms/#dwc:organismID,An identifier for the dwc:Organism instance (as opposed to a particular digital record of the dwc:Organism). May be a globally unique identifier or an identifier specific to the data set.,,`http://arctos.database.museum/guid/WNMU:Mamm:1249`,false,
Organism,organismName,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismName,https://dwc.tdwg.org/terms/#dwc:organismName,A textual name or label assigned to a dwc:Organism instance.,,`Huberta`; `Boab Prison Tree`; `J pod`,false,
Organism,organismScope,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismScope,https://dwc.tdwg.org/terms/#dwc:organismScope,A description of the kind of dwc:Organism instance. Can be used to indicate whether the dwc:Organism instance represents a discrete organism or if it represents a particular type of aggregation.,"Recommended best practice is to use a controlled vocabulary. This term is not intended to be used to specify a type of dwc:Taxon. To describe the kind of dwc:Organism using a URI object in RDF, use rdf:type (http://www.w3.org/1999/02/22-rdf-syntax-ns#type) instead.",`multicellular organism`; `virus`; `clone`; `pack`; `colony`,false,
Organism,associatedOrganisms,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedOrganisms,https://dwc.tdwg.org/terms/#dwc:associatedOrganisms,A list (concatenated and separated) of identifiers of other dwc:Organisms and the associations of this dwc:Organism to each of them.,"This term can be used to provide a list of associations to other dwc:Organisms. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`""sibling of"":""http://arctos.database.museum/guid/DMNS:Mamm:14171""`; `""parent of"":""http://arctos.database.museum/guid/MSB:Mamm:196208"" | ""parent of"":""http://arctos.database.museum/guid/MSB:Mamm:196523"" | ""sibling of"":""http://arctos.database.museum/guid/MSB:Mamm:142638""`",false,
Organism,previousIdentifications,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/previousIdentifications,https://dwc.tdwg.org/terms/#dwc:previousIdentifications,A list (concatenated and separated) of previous assignments of names to the dwc:Organism.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Chalepidae`; `Pinus abies`; `Anthus sp., field ID by G. Iglesias | Anthus correndera, expert ID by C. Cicero 2009-02-12 based on morphology`",false,
Organism,organismRemarks,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismRemarks,https://dwc.tdwg.org/terms/#dwc:organismRemarks,Comments or notes about the dwc:Organism instance.,,`One of a litter of six`,false,
MaterialEntity,materialEntityID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/materialEntityID,https://dwc.tdwg.org/terms/#dwc:materialEntityID,An identifier for a particular instance of a dwc:MaterialEntity.,"Values of dwc:materialEntityID are intended to uniquely and persistently identify a particular dwc:MaterialEntity within some context. Examples of context include a particular sample collection, an organization, or the worldwide scale. Recommended best practice is to use a persistent, globally unique identifier. The identifier is bound to a physical object (the dwc:MaterialEntity) as opposed to a particular digital record (representation) of that physical object.",`06809dc5-f143-459a-be1a-6f03e63fc083`,false,
MaterialEntity,preparations,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/preparations,https://dwc.tdwg.org/terms/#dwc:preparations,A list (concatenated and separated) of preparations and preservation methods for a dwc:MaterialEntity.,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`fossil`; `cast`; `photograph`; `DNA extract`; `skin | skull | skeleton`; `whole animal (ETOH) | tissue (EDTA)`,false,
MaterialEntity,disposition,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/disposition,https://dwc.tdwg.org/terms/#dwc:disposition,The current state of a dwc:MaterialEntity with respect to a collection.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`in collection`; `missing`; `on loan`; `used up`; `destroyed`; `deaccessioned`,false,
MaterialEntity,verbatimLabel,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLabel,https://dwc.tdwg.org/terms/#dwc:verbatimLabel,"The content of this term should include no embellishments, prefixes, headers or other additions made to the text. Abbreviations must not be expanded and supposed misspellings must not be corrected. Lines or breakpoints between blocks of text that could be verified by seeing the original labels or images of them may be used. Examples of material entities include preserved specimens, fossil specimens, and material samples. Best practice is to use UTF-8 for all characters. Best practice is to add comment “verbatimLabel derived from human transcription” in dwc:occurrenceRemarks.",Examples can be found at https://dwc.tdwg.org/examples/verbatimLabel.,,false,
