_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_type
Amplification,purificationMethod,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/purificationMethod,http://terms.tdwg.org/wiki/ggbn:purificationMethod,Method or protocol used to purify the PCR product,,false,
Amplification,consensusSequence,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/consensusSequence,http://terms.tdwg.org/wiki/ggbn:consensusSequence,Consensus sequence derived from all individual sequences,,false,
Amplification,consensusSequenceLength,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/consensusSequenceLength,http://terms.tdwg.org/wiki/ggbn:consensusSequenceLength,Length of the consensus sequence (number of base pairs),697,false,integer
Amplification,consensusSequenceChromatogramFileURI,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/consensusSequenceChromatogramFileURI,http://terms.tdwg.org/wiki/ggbn:consensusSequenceChromatogramFileURI,Link to the chromatogram of the consensus sequence,,false,uri
Amplification,barcodeSequence,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/barcodeSequence,http://terms.tdwg.org/wiki/ggbn:barcodeSequence,DNA Barcode sequence (part or 100% of the consensus sequence),,false,
Amplification,haplotype,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/haplotype,http://terms.tdwg.org/wiki/ggbn:haplotype,"Name of the haplotype, if applicable",,false,
Amplification,marker,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/marker,http://terms.tdwg.org/wiki/ggbn:marker,Genetic locus/marker or DNA fragment amplified by PCR,"COI, rbcL",false,
Amplification,markerSubfragment,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/markerSubfragment,http://terms.tdwg.org/wiki/ggbn:markerSubfragment,Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes,V6,false,
Amplification,geneticAccessionNumber,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/geneticAccessionNumber,http://terms.tdwg.org/wiki/ggbn:geneticAccessionNumber,Definite number or ID under which the DNA sequence is deposited in a public database (GenBank/EMBL/DDBJ accession number),AJ675356,false,
Amplification,BOLDProcessID,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/BOLDProcessID,http://terms.tdwg.org/wiki/ggbn:BOLDProcessID,Definite number or ID under which the DNA sequence is deposited in the BOLD database,KBPBK324-08,false,
Amplification,geneticAccessionURI,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/geneticAccessionURI,http://terms.tdwg.org/wiki/ggbn:geneticAccessionURI,URI of the related record in a public database (GenBank/DDBJ/EMBL record).,,false,uri
Amplification,GC-content,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/GC-content,http://terms.tdwg.org/wiki/ggbn:GC-content,guanine-cytosine content in mol %,,false,
Amplification,chimera_check,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/chimera_check,http://gensc.org/ns/mixs/#chimera_check,"A chimeric sequence, or chimera for short, is a sequence comprised of two or more phylogenetically distinct parent sequences. Chimeras are usually PCR artifacts thought to occur when a prematurely terminated amplicon reanneals to a foreign DNA strand and is copied to completion in the following PCR cycles. The point at which the chimeric sequence changes from one parent to the next is called the breakpoint or conversion point",,false,
Amplification,assembly,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/assembly,http://gensc.org/ns/mixs/#assembly,How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler etc). Input: CV,,false,
Amplification,sop,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/sop,http://gensc.org/ns/mixs/#sop,Relevant standard operating procedures,,false,
Amplification,finishing_strategy,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/finishing_strategy,http://gensc.org/ns/mixs/#finishing_strategy,"Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x etc, and how many contigs were produced for the genome",,false,
Amplification,annot_source,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/annot_source,http://gensc.org/ns/mixs/#annot_source,For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter,,false,
Amplification,markerAccordance,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/markerAccordance,http://terms.tdwg.org/wiki/ggbn:markerAccordance,Result of comparison of two markers of two specimens or strains. Name or TAX-ID (NCBI) of compared specimens/strain and the relative identity percentage must be given,,false,
Amplification,seq_quality_check,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/seq_quality_check,http://gensc.org/ns/mixs/#seq_quality_check,Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA or DRA e.g. none or manually edited,,false,
Amplification,adapters,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/adapters,http://gensc.org/ns/mixs/#adapters,Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,,false,
Amplification,mid,http://gensc.org/ns/mixs/,http://gensc.org/ns/mixs/mid,http://gensc.org/ns/mixs/#mid,"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters",,false,
